COMPANY_ID,A_NO,FILE_URL,
"82979","A77343228","http://www.canpages.ca/printad/ONG12/A77343228.swf",
"82979","A77343229","http://www.canpages.ca/printad/GUE11/A77343229.swf",
"82979","A77343230","http://www.canpages.ca/printad/HUR12/A77343230.swf",
"82979","A77343231","http://www.canpages.ca/printad/BRR11/A77343231.swf",
"82979","A77343262","http://www.canpages.ca/printad/KTW11/A77343262.swf",
"82979","A77343263","http://www.canpages.ca/printad/LON12/A77343263.swf",
"83598","A77320072","http://www.canpages.ca/printad/SUD11/A77320072.swf",
"83787","A77303982","http://www.canpages.ca/printad/NGF11/A77303982.swf",
"83847","A77336349","http://www.canpages.ca/printad/NMO11/A77336349.swf",
"83939","A77246212","http://www.canpages.ca/printad/CGY11/A77246212.swf",
"84097","A77388304","http://www.canpages.ca/printad/CCR11/A77388304.swf",
"84097","A77388305","http://www.canpages.ca/printad/CCR11/A77388305.L.swf",
"84097","A77388305","http://www.canpages.ca/printad/CCR11/A77388305.R.swf",
"84297","A77301067","http://www.canpages.ca/printad/MSK11/A77301067.swf",
"84297","A77301068","http://www.canpages.ca/printad/MSK11/A77301068.swf",
"84852","A77264659","http://www.canpages.ca/printad/VAN11/A77264659.swf",
"85251","A77334572","http://www.canpages.ca/printad/LNG11/A77334572.swf",
"85251","A77334573","http://www.canpages.ca/printad/WRK11/A77334573.swf",
"85251","A77334574","http://www.canpages.ca/printad/SUR11/A77334574.swf",
"86175","A77161201","http://www.canpages.ca/printad/KKL11/A77161201.swf",
"86175","A77225774","http://www.canpages.ca/printad/KKL11/A77225774.swf",
"86175","A77225774","http://www.canpages.ca/printad/MSK11/A77225774.swf",
"86175","A77306881","http://www.canpages.ca/printad/SUD11/A77306881.swf",
"86175","A77328782","http://www.canpages.ca/printad/TMC12/A77328782.swf",
"86333","A77265261","http://www.canpages.ca/printad/VAN11/A77265261.swf",
"86333","A77265322","http://www.canpages.ca/printad/VAN11/A77265322.swf",
"86339","A77371442","http://www.canpages.ca/printad/TKP12/A77371442.swf",
"86518","A77300604","http://www.canpages.ca/printad/VIC11/A77300604.swf",
"86518","A77300605","http://www.canpages.ca/printad/VIC11/A77300605.swf",
"86547","A77019408","http://www.canpages.ca/printad/SCR09/A77019408.swf",
"86547","A77019409","http://www.canpages.ca/printad/SCR09/A77019409.swf",
"90128","A77344784","http://www.canpages.ca/printad/CLW11/A77344784.L.swf",
"90128","A77344784","http://www.canpages.ca/printad/CLW11/A77344784.R.swf",
"90429","A77338265","http://www.canpages.ca/printad/EDM11/A77338265.swf",
"90578","A77386172","http://www.canpages.ca/printad/TMC12/A77386172.swf",
"90664","A77352562","http://www.canpages.ca/printad/COB11/A77352562.swf",
"90664","A77352563","http://www.canpages.ca/printad/PET11/A77352563.swf",
"90664","A77352564","http://www.canpages.ca/printad/PET11/A77352564.swf",
"91161","A77295212","http://www.canpages.ca/printad/CLW11/A77295212.swf",
"91708","A77344850","http://www.canpages.ca/printad/SSM11/A77344850.swf",
