what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148920462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148920650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148920822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148921010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148921182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148921339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148921543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148921840
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148924488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148933153
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331148938339
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1331148938512
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148947677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331148951172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331148953475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331148978665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331148978696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331148978774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331148996183
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149008300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149037342
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149045331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149045346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149045472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149112896
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1331149159977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331149177487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1331149180468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149184108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149190432
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331149194464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149196111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149196143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149196347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149289747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149295532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1331149295564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149308624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149356220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149356236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149356298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331149388316
activated,view,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.ui.explorer",1331149402384
activated,editor,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.editor",1331149402775
