what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144323702
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144324609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144326189
closed,editor,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare.CompareEditor",1331144326626
opened,editor,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare.CompareEditor",1331144328503
activated,editor,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare.CompareEditor",1331144328612
activated,view,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.sync.views.SynchronizeView",1331144340214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144341872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144341966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144342106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144343373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144344280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144348142
closed,editor,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare.CompareEditor",1331144348908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144368751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144376554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144436376
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1331144440143
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1331144440159
activated,editor,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.editor",1331144441706
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1331144441722
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1331144443395
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1331144445380
activated,editor,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.editor",1331144447350
activated,editor,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.editor",1331144458074
closed,editor,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.editor",1331144458074
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331144482573
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331144482760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331144482964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331144483214
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1331144483589
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1331144489859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144504071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144504087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144504181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144701732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144706111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144706127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1331144706220
